Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Human_validation,Comment
ml17_280a_0137_part10.wav,10,0:50,0.1402,0.5278,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part17.wav,17,1:25,0.1401,0.5449,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part52.wav,52,4:20,0.1399,0.5232,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0082_part62.wav,62,5:10,0.1397,0.5968,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0162_part0.wav,0,0:00,0.1396,0.5907,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0168_part2.wav,2,0:10,0.1394,0.5353,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0168_part13.wav,13,1:05,0.1393,0.5629,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0098_part11.wav,11,0:55,0.1388,0.4909,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0095_part62.wav,62,5:10,0.1387,0.615,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0083_part9.wav,9,0:45,0.1386,0.4886,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0095_part60.wav,60,5:00,0.1386,0.5509,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0098_part24.wav,24,2:00,0.1382,0.5486,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part19.wav,19,1:35,0.1381,0.5415,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0097_part29.wav,29,2:25,0.1378,0.4828,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0099_part47.wav,47,3:55,0.1377,0.5111,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0081_part15.wav,15,1:15,0.1376,0.5636,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0170_part6.wav,6,0:30,0.1372,0.5739,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0084_part59.wav,59,4:55,0.1372,0.515,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
ml17_280a_0086_part62.wav,62,5:10,0.1367,0.4839,⚠️ ANOMALIE,Forte distance KNN aux voisins bruit,Anomaly,
