Source Audio,Part,Début (sec),Début (min:sec),Distance,Status,Listening, ,
ml18_296a_0007_part17.wav,17,85,1:25,0.1458,RAS,,,ml18_296a_00070017
ml18_296a_0007_part18.wav,18,90,1:30,0.1612,RAS,,,ml18_296a_00070018
ml18_296a_0007_part19.wav,19,95,1:35,0.1283,RAS,,,ml18_296a_00070019
ml18_296a_0007_part20.wav,20,100,1:40,0.1376,RAS,,,ml18_296a_00070020
ml18_296a_0007_part21.wav,21,105,1:45,0.13,RAS,,,ml18_296a_00070021
ml18_296a_0007_part22.wav,22,110,1:50,0.1905,RAS,,,ml18_296a_00070022
ml18_296a_0007_part23.wav,23,115,1:55,0.1026,RAS,,,ml18_296a_00070023
ml18_296a_0007_part24.wav,24,120,2:00,0.1682,RAS,,,ml18_296a_00070024
ml19_292a_0007_part0.wav,0,0,0:00,0.1004,RAS,,,ml19_292a_00070000
ml19_292a_0007_part1.wav,1,5,0:05,0.194,RAS,,,ml19_292a_00070001
ml19_292a_0007_part2.wav,2,10,0:10,0.2047,RAS,,,ml19_292a_00070002
ml19_292a_0007_part3.wav,3,15,0:15,0.1327,RAS,,,ml19_292a_00070003
ml19_292a_0007_part4.wav,4,20,0:20,0.1159,RAS,,,ml19_292a_00070004
ml19_292a_0007_part5.wav,5,25,0:25,0.1094,RAS,,,ml19_292a_00070005
ml19_292a_0007_part6.wav,6,30,0:30,0.1373,RAS,,,ml19_292a_00070006
ml19_292a_0007_part7.wav,7,35,0:35,0.2005,RAS,,,ml19_292a_00070007
ml19_292a_0007_part8.wav,8,40,0:40,0.1131,RAS,,,ml19_292a_00070008
ml19_292a_0007_part9.wav,9,45,0:45,0.1159,RAS,,,ml19_292a_00070009
ml19_292a_0007_part10.wav,10,50,0:50,0.137,RAS,,,ml19_292a_00070010
ml19_292a_0007_part11.wav,11,55,0:55,0.1218,RAS,,,ml19_292a_00070011
ml19_292a_0007_part12.wav,12,60,1:00,0.1491,RAS,,,ml19_292a_00070012
ml19_292a_0007_part13.wav,13,65,1:05,0.0821,RAS,,,ml19_292a_00070013
ml19_292a_0007_part14.wav,14,70,1:10,0.132,RAS,,,ml19_292a_00070014
ml19_292a_0007_part15.wav,15,75,1:15,0.1813,RAS,,,ml19_292a_00070015
ml19_292a_0007_part16.wav,16,80,1:20,0.1568,RAS,,,ml19_292a_00070016
ml19_292a_0007_part17.wav,17,85,1:25,0.153,RAS,,,ml19_292a_00070017
ml19_292a_0007_part18.wav,18,90,1:30,0.1271,RAS,,,ml19_292a_00070018
ml19_292a_0007_part19.wav,19,95,1:35,0.1639,RAS,,,ml19_292a_00070019
ml19_292a_0007_part20.wav,20,100,1:40,0.2,RAS,,,ml19_292a_00070020
ml19_292a_0007_part21.wav,21,105,1:45,0.234,RAS,,,ml19_292a_00070021
ml19_292a_0007_part22.wav,22,110,1:50,0.211,RAS,,,ml19_292a_00070022
ml19_292a_0007_part23.wav,23,115,1:55,0.1799,RAS,,,ml19_292a_00070023
