Source Audio,Part,Start(sec),Start (min:sec),Distance,Status,Human_validation,Comment
ml17_280a_0051_part0.wav,0,0,0:00,0.5284,Anomaly,Anomaly,
ml17_280a_0130_part15.wav,15,75,1:15,0.5276,Anomaly,Anomaly,
ml17_280a_0083_part26.wav,26,130,2:10,0.5275,Anomaly,Anomaly,
ml17_280a_0141_part37.wav,37,185,3:05,0.5274,Anomaly,Anomaly,
ml17_280a_0086_part42.wav,42,210,3:30,0.5268,Anomaly,Anomaly,
ml17_280a_0082_part26.wav,26,130,2:10,0.5262,Anomaly,Anomaly,
ml17_280a_0137_part16.wav,16,80,1:20,0.5257,Anomaly,Anomaly,
ml17_280a_0099_part13.wav,13,65,1:05,0.5249,Anomaly,Anomaly,
ml17_280a_0098_part61.wav,61,305,5:05,0.5248,Anomaly,Anomaly,
ml17_280a_0095_part51.wav,51,255,4:15,0.5248,Anomaly,Anomaly,
ml17_280a_0163_part37.wav,37,185,3:05,0.5234,Anomaly,Anomaly,
ml17_280a_0081_part48.wav,48,240,4:00,0.523,Anomaly,Anomaly,
ml17_280a_0075_part7.wav,7,35,0:35,0.5228,Anomaly,Anomaly,vent
ml17_280a_0141_part61.wav,61,305,5:05,0.5228,Anomaly,Anomaly,
ml17_280a_0098_part27.wav,27,135,2:15,0.5224,Anomaly,Anomaly,
ml17_280a_0082_part24.wav,24,120,2:00,0.5224,Anomaly,Anomaly,
ml17_280a_0168_part2.wav,2,10,0:10,0.5222,Anomaly,Anomaly,  
ml17_280a_0082_part55.wav,55,275,4:35,0.522,Anomaly,Anomaly,
ml17_280a_0070_part22.wav,22,110,1:50,0.5216,Anomaly,To_validate,
ml17_280a_0084_part51.wav,51,255,4:15,0.5205,Anomaly,To_validate,
ml17_280a_0084_part1.wav,1,5,0:05,0.5197,Anomaly,To_validate,
ml17_280a_0098_part63.wav,63,315,5:15,0.5196,Anomaly,To_validate,
ml17_280a_0081_part18.wav,18,90,1:30,0.5189,Anomaly,To_validate,
ml17_280a_0084_part26.wav,26,130,2:10,0.5179,Anomaly,To_validate,
ml17_280a_0164_part0.wav,0,0,0:00,0.5176,Anomaly,To_validate,
ml17_280a_0083_part13.wav,13,65,1:05,0.5173,Anomaly,To_validate,
ml17_280a_0082_part27.wav,27,135,2:15,0.5173,Anomaly,To_validate,
ml17_280a_0161_part13.wav,13,65,1:05,0.5169,Anomaly,To_validate,
ml17_280a_0082_part1.wav,1,5,0:05,0.5164,Anomaly,To_validate,
ml17_280a_0081_part33.wav,33,165,2:45,0.5162,Anomaly,To_validate,
ml17_280a_0144_part50.wav,50,250,4:10,0.516,Anomaly,To_validate,
ml17_280a_0097_part30.wav,30,150,2:30,0.5151,Anomaly,To_validate,
ml17_280a_0096_part14.wav,14,70,1:10,0.515,Anomaly,To_validate,
ml17_280a_0082_part11.wav,11,55,0:55,0.5145,Anomaly,To_validate,
ml17_280a_0051_part10.wav,10,50,0:50,0.5145,Anomaly,To_validate,
ml17_280a_0137_part23.wav,23,115,1:55,0.5138,Anomaly,To_validate,
ml17_280a_0098_part28.wav,28,140,2:20,0.5133,Anomaly,To_validate,
ml17_280a_0099_part47.wav,47,235,3:55,0.5124,Anomaly,To_validate,
ml17_280a_0069_part65.wav,65,325,5:25,0.5123,Anomaly,To_validate,
ml17_280a_0086_part5.wav,5,25,0:25,0.5118,Anomaly,To_validate,
ml17_280a_0084_part59.wav,59,295,4:55,0.5114,Anomaly,To_validate,
ml17_280a_0083_part20.wav,20,100,1:40,0.5108,Anomaly,To_validate,
ml17_280a_0086_part61.wav,61,305,5:05,0.5108,Anomaly,To_validate,
ml17_280a_0173_part3.wav,3,15,0:15,0.5103,Anomaly,To_validate,
ml17_280a_0099_part24.wav,24,120,2:00,0.5102,Anomaly,To_validate,
ml17_280a_0072_part60.wav,60,300,5:00,0.5101,Anomaly,To_validate,
ml17_280a_0069_part59.wav,59,295,4:55,0.5099,Anomaly,To_validate,
ml17_280a_0081_part65.wav,65,325,5:25,0.5093,Anomaly,To_validate,
ml17_280a_0145_part23.wav,23,115,1:55,0.5089,Anomaly,To_validate,
ml17_280a_0137_part24.wav,24,120,2:00,0.5074,Anomaly,To_validate,
ml17_280a_0081_part52.wav,52,260,4:20,0.5073,Anomaly,To_validate,
ml17_280a_0082_part4.wav,4,20,0:20,0.507,Anomaly,To_validate,
ml17_280a_0137_part19.wav,19,95,1:35,0.5068,Anomaly,To_validate,
ml17_280a_0082_part37.wav,37,185,3:05,0.5068,Anomaly,To_validate,
ml17_280a_0140_part44.wav,44,220,3:40,0.5067,Anomaly,To_validate,
ml17_280a_0169_part20.wav,20,100,1:40,0.5064,Anomaly,To_validate,
ml17_280a_0069_part49.wav,49,245,4:05,0.5049,Anomaly,To_validate,
