Source Audio,Part,Début (min:sec),Distance_Noise,Distance_Anomaly,Status,Detection_Reason,Validation_Humaine
ml19_292a_0030_part75.wav,75,6:15,0.2773,0.2823,RAS,,A_VALIDER
ml17_280a_0083_part1.wav,1,0:05,0.2763,0.2443,RAS,,A_VALIDER
ml17_280a_0144_part144.wav,144,12:00,0.2749,0.2834,RAS,,A_VALIDER
ml18_294b_0042_part8.wav,8,0:40,0.271,0.2896,RAS,,A_VALIDER
ml19_292a_0030_part78.wav,78,6:30,0.2703,0.2742,RAS,,A_VALIDER
ml17_280a_0144_part97.wav,97,8:05,0.2672,0.2519,RAS,,A_VALIDER
ml17_280a_0144_part82.wav,82,6:50,0.266,0.266,RAS,,A_VALIDER
ml19_292b_0026_part114.wav,114,9:30,0.2645,0.2728,RAS,,A_VALIDER
ml17_280a_0083_part66.wav,66,5:30,0.264,0.2509,RAS,,A_VALIDER
ml19_293a_0066_part7.wav,7,0:35,0.2633,0.2617,RAS,,A_VALIDER
ml19_294a_0011_part36.wav,36,3:00,0.2628,0.2724,RAS,,A_VALIDER
ml19_292a_0030_part82.wav,82,6:50,0.2625,0.2683,RAS,,A_VALIDER
ml19_292b_0026_part121.wav,121,10:05,0.2624,0.2676,RAS,,A_VALIDER
ml17_280a_0144_part100.wav,100,8:20,0.261,0.2365,RAS,,A_VALIDER
ml19_292b_0026_part131.wav,131,10:55,0.2603,0.2644,RAS,,A_VALIDER
ml19_293a_0066_part70.wav,70,5:50,0.2601,0.2739,RAS,,A_VALIDER
ml19_292a_0030_part37.wav,37,3:05,0.26,0.2798,RAS,,A_VALIDER
ml17_280a_0144_part1.wav,1,0:05,0.2593,0.2776,RAS,,A_VALIDER
ml17_280a_0144_part69.wav,69,5:45,0.2591,0.2706,RAS,,A_VALIDER
ml18_294b_0013_part51.wav,51,4:15,0.256,0.2813,RAS,,A_VALIDER
ml19_292b_0026_part117.wav,117,9:45,0.2554,0.2626,RAS,,A_VALIDER
ml19_292b_0026_part63.wav,63,5:15,0.2553,0.2643,RAS,,A_VALIDER
ml19_292b_0026_part112.wav,112,9:20,0.2543,0.2599,RAS,,A_VALIDER
ml17_280a_0144_part134.wav,134,11:10,0.2541,0.2592,RAS,,A_VALIDER
ml17_280a_0144_part101.wav,101,8:25,0.2528,0.248,RAS,,A_VALIDER
ml19_293a_0066_part0.wav,0,0:00,0.2523,0.2689,RAS,,A_VALIDER
ml17_280a_0083_part38.wav,38,3:10,0.2515,0.2278,RAS,,A_VALIDER
ml19_292b_0026_part100.wav,100,8:20,0.2514,0.2616,RAS,,A_VALIDER
ml19_292b_0026_part108.wav,108,9:00,0.2503,0.2516,RAS,,A_VALIDER
ml19_292b_0026_part55.wav,55,4:35,0.2488,0.2526,RAS,,A_VALIDER
ml17_280a_0144_part115.wav,115,9:35,0.2486,0.2581,RAS,,A_VALIDER
ml17_280a_0144_part35.wav,35,2:55,0.2485,0.258,RAS,,A_VALIDER
ml19_293a_0066_part81.wav,81,6:45,0.2474,0.2621,RAS,,A_VALIDER
ml17_280a_0144_part130.wav,130,10:50,0.2467,0.261,RAS,,A_VALIDER
ml17_280a_0144_part67.wav,67,5:35,0.2456,0.2613,RAS,,A_VALIDER
ml18_294b_0013_part76.wav,76,6:20,0.2454,0.2576,RAS,,A_VALIDER
