Source Audio,Part,Début (sec),Début (min:sec),Distance,Status
ml19_294a_0011_part41.wav,41,205,3:25,0.2158,RAS
ml19_293a_0066_part84.wav,84,420,7:00,0.2156,RAS
ml17_280a_0144_part90.wav,90,450,7:30,0.2154,RAS
ml18_294b_0013_part2.wav,2,10,0:10,0.2152,RAS
ml18_294b_0013_part54.wav,54,270,4:30,0.2152,RAS
ml19_292b_0026_part120.wav,120,600,10:00,0.2149,RAS
ml19_292b_0026_part95.wav,95,475,7:55,0.2143,RAS
ml18_294b_0013_part77.wav,77,385,6:25,0.2141,RAS
ml19_292b_0026_part45.wav,45,225,3:45,0.2139,RAS
ml17_280a_0083_part63.wav,63,315,5:15,0.2137,RAS
ml19_292b_0026_part135.wav,135,675,11:15,0.2133,RAS
ml17_280a_0144_part123.wav,123,615,10:15,0.2126,RAS
ml19_292b_0026_part87.wav,87,435,7:15,0.2125,RAS
ml17_280a_0144_part132.wav,132,660,11:00,0.2118,RAS
ml19_292a_0030_part76.wav,76,380,6:20,0.2115,RAS
ml19_294a_0011_part33.wav,33,165,2:45,0.2112,RAS
ml19_294a_0011_part24.wav,24,120,2:00,0.2111,RAS
ml19_292b_0026_part102.wav,102,510,8:30,0.2108,RAS
ml19_292b_0026_part51.wav,51,255,4:15,0.2107,RAS
ml17_280a_0144_part6.wav,6,30,0:30,0.2105,RAS
ml19_292b_0026_part9.wav,9,45,0:45,0.2104,RAS
ml18_296a_0007_part11.wav,11,55,0:55,0.2103,RAS
ml19_293a_0066_part58.wav,58,290,4:50,0.2103,RAS
ml19_292b_0026_part62.wav,62,310,5:10,0.2103,RAS
ml19_292b_0026_part67.wav,67,335,5:35,0.21,RAS
ml19_294a_0011_part31.wav,31,155,2:35,0.2095,RAS
ml18_294b_0013_part0.wav,0,0,0:00,0.2095,RAS
ml17_280a_0144_part55.wav,55,275,4:35,0.2093,RAS
ml17_280a_0144_part92.wav,92,460,7:40,0.2093,RAS
ml19_293a_0066_part72.wav,72,360,6:00,0.2092,RAS
ml19_292b_0026_part80.wav,80,400,6:40,0.209,RAS
ml19_294a_0011_part26.wav,26,130,2:10,0.2089,RAS
ml17_280a_0144_part133.wav,133,665,11:05,0.2089,RAS
ml19_292b_0026_part136.wav,136,680,11:20,0.2086,RAS
ml19_293a_0066_part85.wav,85,425,7:05,0.2085,RAS
ml17_280a_0144_part43.wav,43,215,3:35,0.2079,RAS
ml19_292b_0026_part125.wav,125,625,10:25,0.207,RAS
ml19_293a_0015_part70.wav,70,350,5:50,0.207,RAS
ml19_292b_0026_part93.wav,93,465,7:45,0.2069,RAS
ml19_293a_0015_part135.wav,135,675,11:15,0.2069,RAS
ml19_292a_0007_part22.wav,22,110,1:50,0.2068,RAS
ml18_294b_0013_part63.wav,63,315,5:15,0.2067,RAS
ml19_292b_0026_part77.wav,77,385,6:25,0.2061,RAS
ml19_292a_0030_part52.wav,52,260,4:20,0.2057,RAS
ml17_280a_0083_part3.wav,3,15,0:15,0.2052,RAS
